City,Lat,Lng,Country,Max Temp (C),Humidity,Cloudiness,Wind Speed (Kmph),Date
Kuril'sk,45.2333,147.8833,RU,7.37,84,93,2.46,1624192590
Abu Dhabi,24.4667,54.3667,AE,38.0,56,0,5.66,1624192346
Bermejo,-32.8833,-68.8,AR,4.95,75,75,2.06,1624192591
Sherpur,25.0188,90.0175,BD,25.16,92,47,3.08,1624192591
Puqi,29.7167,113.8833,CN,22.31,84,93,0.96,1624192591
Rumoi,43.9344,141.6428,JP,12.9,84,98,3.37,1624192469
Lorengau,-2.0226,147.2712,PG,27.55,77,100,3.66,1624192592
Gorgan,36.8387,54.4348,IR,34.98,44,0,4.12,1624192592
Mossamedes,-15.1961,12.1522,AO,29.35,48,0,3.09,1624192592
Zaysan,47.4667,84.8667,KZ,14.11,50,77,3.52,1624192593
Liaocheng,36.4439,115.9647,CN,29.65,21,11,3.16,1624192491
Yaan,7.3833,8.5667,NG,30.5,63,97,2.14,1624192593
Vila Franca do Campo,37.7167,-25.4333,PT,22.23,62,0,4.84,1624192593
Pombia,45.653,8.6336,IT,30.72,52,0,2.06,1624192594
Makassar,-5.14,119.4221,ID,24.0,100,40,1.54,1624192337
Melfort,52.8667,-104.6177,CA,9.07,81,99,2.06,1624192594
Pocsaj,47.2833,21.8167,HU,29.12,44,22,2.65,1624192594
Abhā,18.2164,42.5053,SA,32.14,8,40,3.09,1624192595
Fuquay-Varina,35.5843,-78.8,US,23.53,84,100,0.45,1624192595
Rundu,-17.9333,19.7667,NA,25.18,21,40,3.61,1624192595
Mazyr,52.0495,29.2456,BY,27.7,52,81,5.4,1624192595
Gwanda,-20.9333,29.0,ZW,15.78,61,100,3.5,1624192596
Camacha,33.0833,-16.3333,PT,21.96,83,75,6.17,1624192596
Alcañiz,41.05,-0.1333,ES,23.02,24,86,4.4,1624192596
North Bend,43.4065,-124.2243,US,13.29,92,90,4.12,1624192596
Manaus,-3.1019,-60.025,BR,28.27,83,0,1.03,1624192596
Vancouver,49.2497,-123.1193,CA,16.27,89,20,1.34,1624192520
Singaraja,-8.112,115.0882,ID,26.6,81,24,1.1,1624192395
Wyndham,37.6985,-77.6125,US,25.46,77,1,0.45,1624192597
Chara,56.9064,118.2631,RU,16.57,59,100,0.1,1624192597
Saint George,37.1041,-113.5841,US,28.08,27,1,0.89,1624192598
Mahébourg,-20.4081,57.7,MU,24.16,64,40,6.69,1624192598
Lázaro Cárdenas,17.9583,-102.2,MX,25.09,84,99,1.97,1624192598
Asbury Park,40.2204,-74.0121,US,24.46,84,1,0.89,1624192437
Narsaq,60.9167,-46.05,GL,9.12,77,100,0.88,1624192599
Florianópolis,-27.6146,-48.5012,BR,15.79,91,75,0.45,1624192599
Misratah,32.3754,15.0925,LY,31.35,42,0,4.94,1624192599
Acapulco de Juárez,16.8634,-99.8901,MX,23.9,94,75,1.03,1624192599
Vao,-22.6667,167.4833,NC,22.1,66,100,9.94,1624192600
Djibouti,11.5,42.5,DJ,32.68,14,19,1.61,1624192600
Marawi,7.9986,124.2928,PH,23.69,93,100,1.9,1624192600
Necochea,-38.5473,-58.7368,AR,5.58,71,90,3.79,1624192600
Ust'-Ilimsk,58.0006,102.6619,RU,22.05,55,59,0.85,1624192064
Morón,-34.6534,-58.6198,AR,8.9,98,4,1.03,1624192601
Lata,40.1629,-8.3327,PT,21.86,55,35,5.86,1624192601
Storm Lake,42.6411,-95.2097,US,19.12,100,1,9.26,1624192601
Pitkyaranta,61.5734,31.4792,RU,20.83,60,20,4.39,1624192602
Katsuura,35.1333,140.3,JP,23.89,83,100,4.12,1624192341
Kyra,49.5776,111.9753,RU,11.74,80,5,1.83,1624192602
Westport,41.1415,-73.3579,US,24.3,82,1,1.34,1624192602
Bānposh,22.25,84.8,IN,30.45,60,37,2.05,1624192603
Sassandra,4.95,-6.0833,CI,25.74,86,99,2.4,1624192603
Saint-Pierre,-21.3393,55.4781,RE,24.8,87,75,8.75,1624192603
College,64.8569,-147.8028,US,12.78,93,90,2.06,1624192603
La Ronge,55.1001,-105.2842,CA,9.14,66,75,3.6,1624192604
Bonthe,7.5264,-12.505,SL,26.82,81,100,4.58,1624192604
Kurumkan,54.3,110.3,RU,17.79,65,100,0.85,1624192604
Flin Flon,54.7682,-101.865,CA,7.91,71,20,6.17,1624192604
Mombetsu,44.3525,143.3525,JP,9.18,98,100,1.65,1624192369
Giohar,2.7809,45.5005,SO,30.17,45,99,10.23,1624192605
La Serena,-29.9078,-71.2542,CL,11.73,76,75,2.57,1624192605
Auckland,-36.8667,174.7667,NZ,12.66,96,75,0.45,1624192103
Chukhloma,58.7525,42.6825,RU,29.73,37,5,4.29,1624192605
Amherst,41.3978,-82.2224,US,25.13,83,90,0.45,1624192605
Sebring,27.4956,-81.4409,US,27.72,85,1,1.34,1624192606
Show Low,34.2542,-110.0298,US,22.3,41,20,2.06,1624192606
Agadez,19.75,10.25,NE,41.14,8,7,4.84,1624192606
Olafsvik,64.8945,-23.7142,IS,7.52,67,17,4.84,1624192606
Doka,13.5167,35.7667,SD,32.87,39,100,4.87,1624192607
Oron,4.8256,8.2343,NG,28.71,76,95,3.39,1624192607
San Ramon,37.7799,-121.978,US,15.79,85,1,0.0,1624192607
Paamiut,61.994,-49.6678,GL,4.57,99,100,2.16,1624192607
Praia,14.9215,-23.5087,CV,26.3,57,20,8.23,1624192608
Luganville,-15.5333,167.1667,VU,25.25,86,100,0.84,1624192608
Bhadrāchalam,17.6667,80.8833,IN,31.0,56,100,1.44,1624192608
Partsa,54.3653,42.8617,RU,28.2,42,0,1.49,1624192608
Sehore,23.2,77.0833,IN,29.15,67,99,6.37,1624192608
Hede,33.7681,120.2517,CN,24.65,52,6,4.47,1624192609
Horana,6.7166,80.0619,LK,28.9,81,73,1.92,1624192609
San Miguel de Tucumán,-26.8241,-65.2226,AR,6.0,93,75,0.0,1624192609
Grand Gaube,-20.0064,57.6608,MU,24.22,59,36,3.13,1624192609
Eenhana,-17.4667,16.3333,NA,25.86,19,5,3.71,1624192610
Narasannapeta,18.4167,84.05,IN,29.78,71,99,2.16,1624192610
Broome,42.2506,-75.833,US,19.55,97,75,0.45,1624192610
Soller,39.7662,2.7152,ES,28.81,64,100,2.24,1624192610
Trat,12.5,102.5,TH,26.63,87,100,1.93,1624192611
Coquimbo,-29.9533,-71.3436,CL,11.85,76,75,2.57,1624192611
Rosetta,31.4044,30.4164,EG,28.9,50,0,5.15,1624192611
Teluknaga,-6.0989,106.6381,ID,26.45,88,40,3.09,1624192611
Tomiya,38.3931,140.8861,JP,19.66,84,7,3.95,1624192612
Beisfjord,68.3751,17.5988,NO,15.03,62,67,2.57,1624192612
Bireun,5.203,96.7009,ID,26.44,82,91,1.71,1624192612
Zaoyang,32.1272,112.7542,CN,22.58,54,94,1.26,1624192612
Bacungan,9.9106,118.7022,PH,27.03,83,40,2.06,1624192613
Ponta Delgada,37.7333,-25.6667,PT,22.4,60,20,7.2,1624192613
São Miguel,-5.4667,-35.3667,BR,27.18,69,50,6.46,1624192614
Okhotsk,59.3833,143.3,RU,9.22,79,100,3.09,1624192614
Middelkerke,51.1558,2.8418,BE,22.35,79,20,5.14,1624192614
Itoman,26.1247,127.6694,JP,29.01,89,75,3.09,1624192482
Dombarovskiy,50.7587,59.5386,RU,27.72,43,24,9.11,1624192615
Pizarro,4.9533,-77.366,CO,25.36,88,99,1.85,1624192615
Eyl,7.9803,49.8164,SO,30.32,52,100,13.0,1624192615
Sangar,63.9242,127.4739,RU,20.01,61,6,1.27,1624192615
Ndélé,8.4109,20.6473,CF,34.28,36,98,2.0,1624192616
Auki,-8.7676,160.7034,SB,24.5,85,100,1.41,1624192616
Urengoy,65.9667,78.3667,RU,11.35,48,100,4.78,1624192616
Opuwo,-18.0607,13.84,NA,26.02,19,0,6.69,1624192616
Hualmay,-11.0964,-77.6139,PE,18.35,86,100,5.21,1624192617
Akdepe,42.0551,59.3788,TM,30.05,10,0,7.56,1624192617
Nome,64.5011,-165.4064,US,12.04,66,1,0.0,1624192617
Winnemucca,40.973,-117.7357,US,13.03,38,1,0.0,1624192617
Capitán Bado,-23.2667,-55.5333,PY,10.58,89,100,2.03,1624192617
Altamira,-3.2033,-52.2064,BR,28.05,83,75,3.6,1624192618
Maragogi,-9.0122,-35.2225,BR,25.9,79,21,1.74,1624192618
George Town,5.4112,100.3354,MY,28.27,80,40,0.89,1624192336
Kedrovyy,56.1667,91.8167,RU,17.23,89,97,3.31,1624192619
Kahului,20.8947,-156.47,US,24.36,84,1,0.0,1624192619
Khovd,48.0056,91.6419,MN,19.97,44,51,0.69,1624192620
Gisborne,-38.6533,178.0042,NZ,10.53,90,100,2.57,1624192620
Aklavik,68.2191,-135.0107,CA,17.46,54,98,0.89,1624192620
Pasir Gudang,1.4584,103.8805,MY,27.01,83,40,1.03,1624192620
Kailua,21.4022,-157.7394,US,24.52,69,20,3.6,1624192621
Roald,62.5833,6.1333,NO,20.65,72,20,4.12,1624192621
Khani,41.9563,42.9566,GE,24.76,33,0,1.5,1624192621
Altay,47.8667,88.1167,CN,16.74,50,99,6.19,1624192621
Mangai,-4.05,19.5333,CD,36.55,18,6,1.53,1624192621
Urazovo,50.0836,38.0395,RU,25.96,61,93,6.52,1624192622
Constitución,-35.3333,-72.4167,CL,9.92,79,99,2.58,1624192622
Menongue,-14.6585,17.691,AO,25.84,18,0,3.17,1624192622
Wenling,28.3669,121.36,CN,22.17,94,100,3.1,1624192622
Vieux-Habitants,16.0589,-61.7659,GP,27.76,81,100,6.34,1624192623
Katangli,51.7102,143.2326,RU,11.97,59,100,0.81,1624192623
Marshall,34.3834,-86.3333,US,22.65,82,90,0.89,1624192623
Aksaray,38.3726,34.0254,TR,31.77,21,17,2.39,1624192623
Omboué,-1.5746,9.2618,GA,26.55,73,98,5.05,1624192624
Lusambo,-4.9667,23.45,CD,36.57,21,16,1.06,1624192624
Māndal,25.45,74.5667,IN,28.97,56,96,4.92,1624192624
Hofn,64.2539,-15.2082,IS,11.01,58,20,6.17,1624192624
Faya,18.3851,42.4509,SA,32.29,22,59,1.96,1624192625
Ampanihy,-24.7,44.75,MG,21.38,61,90,7.41,1624192625
Malbork,54.0359,19.0266,PL,31.05,50,4,6.1,1624192625
Kabompo,-13.5927,24.2008,ZM,26.81,23,0,3.07,1624192625
Igarka,67.4667,86.5833,RU,10.16,80,100,1.75,1624192626
Kumul,42.8,93.45,CN,32.66,15,1,5.25,1624192484
Verkh-Usugli,52.7,115.1667,RU,11.7,91,94,0.86,1624192626
San Jose,37.3394,-121.895,US,15.59,84,1,2.06,1624192367
Inta,66.0317,60.1659,RU,7.77,65,100,5.41,1624192626
Nakamura,32.9833,132.9333,JP,20.14,94,70,0.94,1624192361
Al Bardīyah,31.7561,25.0865,LY,27.76,49,0,7.3,1624192627
Cidreira,-30.1811,-50.2056,BR,14.84,92,100,0.55,1624192627
Gurupá,-1.405,-51.64,BR,27.83,71,30,1.83,1624192627
Aparecida do Taboado,-20.0867,-51.0936,BR,20.17,68,97,2.24,1624192628
Dakar,14.6937,-17.4441,SN,29.49,69,40,5.14,1624192628
Baruun-Urt,46.6806,113.2792,MN,13.64,62,2,3.21,1624192628
Oranjemund,-28.55,16.4333,NA,29.04,20,0,7.77,1624192629
Pontian Kecil,1.4801,103.3899,MY,27.02,76,100,1.32,1624192629
Alyangula,-13.8483,136.4192,AU,16.93,94,67,0.0,1624192629
Nouadhibou,20.931,-17.0347,MR,27.99,34,0,10.29,1624192629
Domoni,-12.2569,44.5319,KM,26.14,68,33,5.11,1624192630
Mashhad,36.297,59.6062,IR,33.08,19,0,10.29,1624192630
Sydney,-33.8679,151.2073,AU,12.06,93,80,0.45,1624192630
High Level,58.5169,-117.136,CA,4.06,100,1,1.03,1624192631
Manavālakurichi,8.1333,77.3,IN,30.05,78,58,8.18,1624192631
Noshiro,40.2039,140.0242,JP,17.52,89,73,2.96,1624192472
Plettenberg Bay,-34.0527,23.3716,ZA,27.67,27,13,4.92,1624192632
Waliso,8.5333,37.9833,ET,20.86,60,97,3.34,1624192632
Mountain Home,43.133,-115.6912,US,18.71,39,1,3.6,1624192632
Raudeberg,61.9875,5.1352,NO,17.88,89,100,8.88,1624192633
Urmia,37.5527,45.0761,IR,33.75,15,0,4.12,1624192633
Naze,28.3667,129.4833,JP,20.7,93,100,4.35,1624192633
West Bay,19.3667,-81.4167,KY,30.04,82,20,0.89,1624192633
Shumyachi,53.8583,32.4242,RU,27.69,49,56,2.84,1624192634
Hauterive,46.0901,3.4459,FR,21.88,77,100,5.33,1624192634
Boffa,10.1667,-14.0333,GN,30.15,63,90,2.51,1624192634
Bagratashen,41.2436,44.8174,AM,36.22,26,0,3.78,1624192634
Chimoré,-16.9833,-65.1333,BO,15.88,64,78,0.28,1624192635
Hirara,24.8,125.2833,JP,27.62,80,100,3.73,1624192511
Zhuhai,22.2769,113.5678,CN,31.0,89,40,5.14,1624192405
Jinxiang,27.4327,120.6062,CN,23.07,95,100,3.89,1624192635
Mehamn,71.0357,27.8492,NO,8.32,81,99,2.55,1624192635
Lebanon,36.2081,-86.2911,US,23.45,86,1,0.0,1624192636
Jasper,37.2001,-94.3502,US,25.25,76,1,1.79,1624192636
St. George's,12.0564,-61.7485,GD,28.82,79,20,7.72,1624192636
Mâncio Lima,-7.6142,-72.8958,BR,23.0,86,71,1.29,1624192636
Martapura,-3.4167,114.85,ID,24.05,100,90,1.54,1624192438
Sibolga,1.7427,98.7792,ID,24.62,87,91,0.83,1624192459
Mount Isa,-20.7333,139.5,AU,14.87,31,0,1.54,1624192638
Ukiah,39.1502,-123.2078,US,20.36,70,1,1.54,1624192638
Los Llanos de Aridane,28.6585,-17.9182,ES,21.86,75,20,4.12,1624192638
Grand Baie,-20.0182,57.5802,MU,24.26,59,49,3.13,1624192639
Ninghai,29.2892,121.4247,CN,22.07,97,100,0.44,1624192639
Muğla Province,37.2303,28.3557,TR,25.37,45,61,3.16,1624192639
Jacmel,18.2342,-72.5347,HT,27.91,67,98,0.52,1624192639
Maniitsoq,65.4167,-52.9,GL,3.62,80,5,2.24,1624192640
Manokwari,-0.8667,134.0833,ID,26.16,79,100,0.48,1624192640
Kavaratti,10.5669,72.642,IN,28.38,76,92,8.44,1624192641
Los Reyes Acaquilpan,19.35,-98.9667,MX,15.51,82,40,3.6,1624192641
